date,CF,FG,MA,OI,RM,SR,TA,ZC
20151230,0.996921007983,0.905980918736,1.07280682847,1.04169377989,1.52267295185,1.35534792811,1.26416430766,1.00059655371
20151231,0.996333022284,0.900118474278,1.06407109944,1.04169377989,1.52462432731,1.35445746589,1.26304654129,1.00101385188
20160104,0.99275904119,0.902689365132,1.06998353888,1.03727488995,1.54467918033,1.36795022873,1.27139878447,0.997974655317
20160105,0.992909253011,0.905285056134,1.07749611393,1.03727488995,1.55448988477,1.3639500137,1.27447429399,0.99818138866
20160106,0.994453640156,0.904063464126,1.07618605009,1.03701396472,1.55987548389,1.3697200597,1.272443844,0.99818138866
20160107,0.994453640156,0.905628328245,1.07268290125,1.03762005175,1.56249998834,1.36721378617,1.26613476034,0.99828513221
20160108,0.994715929547,0.89605168819,1.06919691731,1.03762005175,1.56476851437,1.36474612053,1.2609713414,0.994568827419
20160111,0.994929335872,0.894351580396,1.09675745659,1.04162939896,1.57852901982,1.38068096396,1.2734717563,0.993514049123
20160112,0.994929335872,0.89120687984,1.0898042312,1.03959374937,1.57652400704,1.37485667351,1.29629563535,0.99080214348
20160113,0.994699637005,0.890292108163,1.09578521434,1.03959374937,1.5853222311,1.38004075203,1.28491318096,1.02581803992
20160114,0.994630432671,0.888287290295,1.10396863386,1.03822934967,1.60374016955,1.37701906883,1.28857598481,1.0249766255
20160115,0.987210623086,0.887146733117,1.10795636144,1.0378779431,1.60004061937,1.37394450862,1.28694030225,1.02933921578
20160118,0.988399927523,0.899083839908,1.13863114426,1.03772644791,1.64312420776,1.37307980042,1.28306992477,1.05977901753
20160119,0.988488024482,0.895455968425,1.12766246267,1.03772644791,1.64536408008,1.36822306233,1.28987259231,1.03890255664
20160120,0.987560348622,0.895428551203,1.13902040385,1.0471863273,1.6375046459,1.38214766097,1.30524273864,1.0470087378
20160121,0.986976427798,0.895013881896,1.14180691448,1.04604862631,1.6339983534,1.37288022544,1.30271529343,1.05544582442
20160122,0.98565461486,0.886846439728,1.14293700684,1.04685161591,1.63516245636,1.3685886904,1.28800053801,1.04559132682
20160125,0.985804717687,0.890681805091,1.138403804,1.04685161591,1.64719729193,1.37704301847,1.29021515162,1.04763560127
20160126,0.985804717687,0.887540137179,1.13929035419,1.0469059054,1.65011892058,1.36986534556,1.28456685132,1.04734456124
20160127,0.987314635425,0.887531132078,1.14375056274,1.04667860318,1.6431847228,1.36423947051,1.27993604629,1.04191324375
20160128,0.987314635425,0.890348622774,1.14089459522,1.04678341074,1.64270966092,1.35748021688,1.28642662033,1.03902538968
20160129,0.987795473782,0.889414458686,1.13013042125,1.04698271679,1.62009485774,1.3565742213,1.28752520491,1.03223025635
20160201,0.98697085038,0.8882362092,1.12892644569,1.04831928325,1.61819196863,1.34803931226,1.28735824477,1.03223025635
20160202,0.98697085038,0.887762048708,1.11454571493,1.04831928325,1.6221050856,1.34985700917,1.28687686299,1.02933511444
20160203,0.996424290725,0.886289629039,1.10868245762,1.04831928325,1.62143274063,1.34800178735,1.28920851484,1.02686411533
20160204,0.995814079796,0.890499165255,1.11542629924,1.04831928325,1.60851795245,1.33714947913,1.30585785222,1.02944607742
20160205,0.993049114507,0.89023139369,1.11709923153,1.04879815909,1.6150399979,1.334697419,1.30178094197,1.0321160937
20160215,0.993049114507,0.890081209429,1.13267991477,1.04839222991,1.60959055578,1.34107787932,1.3085121927,1.03010669989
20160216,0.995196147926,0.890393750147,1.13100736453,1.04762144612,1.61098937514,1.32917617424,1.31051148957,1.02996325132
20160217,0.994766008265,0.890393750147,1.1249990108,1.04761941491,1.61430599427,1.34046893811,1.30622988746,1.04935640588
20160218,0.994766008265,0.888170487137,1.11745784235,1.04645533711,1.61205622121,1.34098010715,1.30461284167,1.05460695341
20160219,0.996791610526,0.884977425803,1.11010747924,1.04645533711,1.6072559755,1.33530276271,1.30581526563,1.05536521914
20160222,0.996791610526,0.883302931166,1.11199566442,1.04924701568,1.60741500816,1.33501935728,1.30846174543,1.04813729877
20160223,0.993600609421,0.884426355656,1.10856042576,1.04930021426,1.60956994756,1.33165193418,1.30865723209,1.04941698041
20160224,0.99678040495,0.885009027835,1.10729802977,1.04918323011,1.62227675803,1.32330153854,1.30512477174,1.04504610314
20160225,0.994646502756,0.881218797147,1.10566516172,1.04918323011,1.61724938688,1.32323256142,1.314576243,1.04077812787
20160226,0.993607239222,0.87942517909,1.10864078187,1.04829850278,1.61713328659,1.32184829472,1.31889343931,1.05341376032
20160229,0.992976634651,0.878630764181,1.09829060479,1.04869352462,1.59419678232,1.33517175373,1.31315628232,1.04893366398
