date,a,i,j,jm,m,p,y,CF,FG,MA,OI,RM,SR,TA,ZC,ag,al,au,cu,hc,pb,rb,ru
20150528,1.006269293,1.109770015,1.012205113,0.972444675,0.941709647,0.94276788,0.918768062,1.004558236,1,0.986465179,1,1.111267526,1.17502329,1.134617875,1,1.027396037,0.969141905,0.975906404,1.116431721,0.985305382,1.025381449,1.061370489,0.971439664
20150529,1.005741874,1.110480125,1.012403009,0.975543812,0.942168444,0.93456567,0.917731929,1.003486428,1,0.994327705,1,1.105803186,1.180244306,1.133348476,1,1.026799219,0.968951645,0.973216233,1.113101001,0.98350241,1.025052224,1.063150994,0.984460197
20150601,1.0169692,1.122890958,1.011547884,0.97006763,0.931565679,0.942495856,0.92575045,1.003668232,1,0.993846022,1,1.113335217,1.177443098,1.115918516,1,1.02874131,0.969018337,0.976394137,1.121533878,0.981774939,1.024091734,1.06642666,0.985623862
20150602,1.019687546,1.115117865,1.011824902,0.968481287,0.939388966,0.941823593,0.92552737,1.004162319,1,0.992361883,1,1.12722518,1.18372596,1.120883238,1,1.019318598,0.968901189,0.968809111,1.121460078,0.982042066,1.023618656,1.0625069,0.980645423
20150603,1.019566776,1.11654995,1.013686462,0.96865923,0.936434739,0.947086104,0.935284529,1.00294363,1,0.990578603,1,1.123459141,1.18998578,1.120502595,1,1.016598154,0.970791353,0.968174194,1.122840453,0.982819237,1.023154733,1.066228907,1.000275153
20150604,1.019566776,1.124180468,1.012531025,0.966426353,0.936195039,0.942220849,0.933502609,1.0003643,1,0.989512436,1,1.124425215,1.196142188,1.129554259,1,1.004899693,0.970695879,0.9611936,1.120958681,0.981525126,1.01986139,1.069220895,0.998901096
20150605,1.023808828,1.12587804,1.0121126,0.965267316,0.933905335,0.949351687,0.93250329,0.999068786,1,0.989966104,1,1.123528654,1.188759573,1.132913438,1,0.994751703,0.969520545,0.960023072,1.124761302,0.980890387,1.019946446,1.072097104,0.997329508
20150608,1.020666881,1.121861492,1.012041728,0.964558485,0.932918449,0.949099502,0.927103836,0.998364511,1,0.988397071,1,1.120274217,1.189196143,1.125644871,1,0.998378051,0.969446811,0.965273937,1.124371768,0.980759453,1.016774943,1.069503406,0.991848486
20150609,1.016058396,1.126840704,1.011723903,0.963762605,0.93118206,0.948351298,0.929619397,0.998364511,1,0.985305372,1,1.119719353,1.192276832,1.125523723,1,0.99855937,0.969153054,0.9617118,1.124895694,0.980712487,1.016898078,1.073187306,0.989341112
20150610,1.015517043,1.101589195,1.01085429,0.973373739,0.933087653,0.948112758,0.929048149,0.998380774,1,0.98059433,1,1.120404849,1.190350838,1.113590891,1,0.995671649,0.968275503,0.961535525,1.122083812,0.980658656,1.016897376,1.072773631,0.985611081
20150611,1.017345211,1.086883002,1.011582545,0.973249408,0.932392685,0.948965552,0.92692017,1.010396564,1,0.979757524,1,1.116978118,1.190023423,1.116231024,1,0.993029583,0.976396067,0.961461303,1.132219115,0.979795674,1.017226667,1.069778482,0.983097571
20150612,1.020020907,1.095053604,1.021840749,0.972574204,0.914956008,0.958965031,0.925183695,1.010396564,1,0.979719791,1,1.127935542,1.180364672,1.12038388,1,0.987027459,0.976259096,0.961609327,1.119664321,0.979667923,1.016782261,1.08146293,0.990425098
